No,Group,Future Enhancement Group,arXiv ID,Title,Original Quick Category,Implementation Angle,PDF URL,Pages,Bundle,Filename,Implemented Component in This Prototype,Prototype File
2,G2,"Closed-loop quantum control, optimization & experiment agents",2606.27231,A hardware-safety-gated system for LLM-written native ARTIQ control code on a trapped-ion platform,LLM quantum code generation / repair,"Implement a safety-gated LLM agent that proposes experiment/control scripts, validates them with rules/simulator checks, then logs human-approved execution.",https://arxiv.org/pdf/2606.27231,15,First 100,002_2606.27231.pdf,Hardware-safe experiment/control agent,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
4,G2,"Closed-loop quantum control, optimization & experiment agents",2606.22376,Vibe Calibration: Autonomous Bring-up of a 112-Qubit Superconducting Quantum Processor by a Skill-Orchestrating Language Agent,Agentic AI for quantum workflows,"Implement a safety-gated LLM agent that proposes experiment/control scripts, validates them with rules/simulator checks, then logs human-approved execution.",https://arxiv.org/pdf/2606.22376,32,First 100,004_2606.22376.pdf,Hardware-safe experiment/control agent,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
11,G2,"Closed-loop quantum control, optimization & experiment agents",2606.14252,Optimality-Preserving Decomposition for Scalable QAOA in Natural-Language-Guided Multi-Drone Assignment,Quantum AI implementation reference,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2606.14252,10,First 100,011_2606.14252.pdf,QAOA closed-loop optimizer,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
13,G2,"Closed-loop quantum control, optimization & experiment agents",2606.1338,An LLM System for Autonomous Variational Quantum Circuit Design,Agentic AI for quantum workflows,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2606.13380,63,First 100,013_2606.13380.pdf,Autonomous VQC architecture search,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
19,G2,"Closed-loop quantum control, optimization & experiment agents",2605.26021,Toward General Quantum Control with Physics-Informed Large Language Models,Quantum AI implementation reference,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2605.26021,46,First 100,020_2605.26021.pdf,Hardware-safe experiment/control agent,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
21,G2,"Closed-loop quantum control, optimization & experiment agents",2605.23934,Practical Quantum CIM Empowerment via All-Domestic-Core Agentic Large Model,Agentic AI for quantum workflows,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2605.23934,21,First 100,022_2605.23934.pdf,Agent orchestration + simulator validation,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
35,G2,"Closed-loop quantum control, optimization & experiment agents",2604.24808,ITAS: A Multi-Agent Architecture for LLM-Based Intelligent Tutoring,Agentic AI for quantum workflows,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2604.24808,11,First 100,037_2604.24808.pdf,Agent orchestration + simulator validation,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
41,G2,"Closed-loop quantum control, optimization & experiment agents",2604.14609,El Agente Forjador: Task-Driven Agent Generation for Quantum Simulation,Agentic AI for quantum workflows,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2604.14609,65,First 100,043_2604.14609.pdf,Agent orchestration + simulator validation,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
63,G2,"Closed-loop quantum control, optimization & experiment agents",2603.08801,Large Language Model-Assisted Superconducting Qubit Experiments,Quantum AI implementation reference,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2603.08801,10,First 100,065_2603.08801.pdf,Agent orchestration + simulator validation,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
81,G2,"Closed-loop quantum control, optimization & experiment agents",2601.10194,Autonomous Quantum Simulation through Large Language Model Agents,Agentic AI for quantum workflows,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2601.10194,31,First 100,087_2601.10194.pdf,Agent orchestration + simulator validation,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
92,G2,"Closed-loop quantum control, optimization & experiment agents",2512.06404,GENIUS: An Agentic AI Framework for Autonomous Design and Execution of Simulation Protocols,Agentic AI for quantum workflows,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2512.06404,20,First 100,099_2512.06404.pdf,Agent orchestration + simulator validation,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
120,G2,"Closed-loop quantum control, optimization & experiment agents",2509.08385,LLM-Guided Ansatz Design for Quantum Circuit Born Machines in Financial Generative Modeling,Quantum-enhanced or quantum-inspired LLM architecture,"Build a natural-language-to-QUBO/QAOA/VQC design agent that proposes circuits, optimizes parameters, and compares classical vs quantum baselines.",https://arxiv.org/pdf/2509.08385,5,Additional 50,papers/020_2509.08385.pdf,Agent orchestration + simulator validation,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
121,G2,"Closed-loop quantum control, optimization & experiment agents",2509.00099,LLM-QUBO: An End-to-End Framework for Automated QUBO Transformation from Natural Language Problem Descriptions,Quantum-enhanced or quantum-inspired LLM architecture,"Build a natural-language-to-QUBO/QAOA/VQC design agent that proposes circuits, optimizes parameters, and compares classical vs quantum baselines.",https://arxiv.org/pdf/2509.00099,8,Additional 50,papers/021_2509.00099.pdf,Agent orchestration + simulator validation,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
126,G2,"Closed-loop quantum control, optimization & experiment agents",2508.05421,LLM-based Multi-Agent Copilot for Quantum Sensor,Agentic AI for quantum/scientific workflows,"Use as a project seed for a hybrid LLM + quantum workflow with agent planning, generation, simulation, and result explanation.",https://arxiv.org/pdf/2508.05421,13,Additional 50,papers/026_2508.05421.pdf,Hardware-safe experiment/control agent,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
138,G2,"Closed-loop quantum control, optimization & experiment agents",2506.00002,Advancing AI-assisted Hardware Design with Hierarchical Decentralized Training and Personalized Inference-Time Optimization,Quantum-enhanced or quantum-inspired LLM architecture,"Experiment with quantum-inspired/quantum-classical modules for LLM fine-tuning, compression, or distillation; compare against LoRA/classical baselines.",https://arxiv.org/pdf/2506.00002,7,Additional 50,papers/038_2506.00002.pdf,QAOA closed-loop optimizer,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
142,G2,"Closed-loop quantum control, optimization & experiment agents",2505.07711,Circuit Partitioning Using Large Language Models for Quantum Compilation and Simulations,Quantum-enhanced or quantum-inspired LLM architecture,"Use as a project seed for a hybrid LLM + quantum workflow with agent planning, generation, simulation, and result explanation.",https://arxiv.org/pdf/2505.07711,7,Additional 50,papers/042_2505.07711.pdf,Agent orchestration + simulator validation,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
143,G2,"Closed-loop quantum control, optimization & experiment agents",2505.06347,Scalable Quantum State Preparation via Large-Language-Model-Driven Discovery,General quantum + GenAI/LLM implementation,"Use as a project seed for a hybrid LLM + quantum workflow with agent planning, generation, simulation, and result explanation.",https://arxiv.org/pdf/2505.06347,9,Additional 50,papers/043_2505.06347.pdf,Agent orchestration + simulator validation,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
146,G2,"Closed-loop quantum control, optimization & experiment agents",2504.1635,QAOA-GPT: Efficient Generation of Adaptive and Regular Quantum Approximate Optimization Algorithm Circuits,Quantum optimization / QML design,"Build a natural-language-to-QUBO/QAOA/VQC design agent that proposes circuits, optimizes parameters, and compares classical vs quantum baselines.",https://arxiv.org/pdf/2504.16350,11,Additional 50,papers/046_2504.16350.pdf,QAOA closed-loop optimizer,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
150,G2,"Closed-loop quantum control, optimization & experiment agents",2504.07396,Automating Quantum Feature Map Design via Large Language Models,Quantum-enhanced or quantum-inspired LLM architecture,"Build a natural-language-to-QUBO/QAOA/VQC design agent that proposes circuits, optimizes parameters, and compares classical vs quantum baselines.",https://arxiv.org/pdf/2504.07396,43,Additional 50,papers/050_2504.07396.pdf,Agent orchestration + simulator validation,src/qaoa_agent.py / src/vqc_agent.py / src/sensor_agent.py / src/safety.py
