No,Group,Future Enhancement Group,arXiv ID,Title,Original Quick Category,Implementation Angle,PDF URL,Pages,Bundle,Filename
3,G1,Quantum software engineering & code-generation agents,2606.24808,Large-Language-Model Discovery of Quantum LDPC Codes through Structured Concept Evolution,LLM quantum code generation / repair,Use an LLM research agent to propose quantum error-correcting code structures and verify constraints with automated algebraic/simulation checks.,https://arxiv.org/pdf/2606.24808,17,First 100,003_2606.24808.pdf
7,G1,Quantum software engineering & code-generation agents,2606.20173,Qiskit Code Migration with LLMs,LLM quantum code generation / repair,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2606.20173,15,First 100,007_2606.20173.pdf
15,G1,Quantum software engineering & code-generation agents,2606.07314,QBugLM: An Agentic Benchmarking Framework for LLM-based Quantum Software Debugging,Agentic AI for quantum workflows,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2606.07314,7,First 100,016_2606.07314.pdf
17,G1,Quantum software engineering & code-generation agents,2605.30358,QASM-Eval: A Dataset to Train and Evaluate LLMs on OpenQASM-3 Beyond Quantum Circuits,LLM quantum code generation / repair,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2605.30358,24,First 100,018_2605.30358.pdf
20,G1,Quantum software engineering & code-generation agents,2605.25572,PennySynth: RAG-Driven Data Synthesis for Automated Quantum Code Generation,LLM quantum code generation / repair,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2605.25572,11,First 100,021_2605.25572.pdf
28,G1,Quantum software engineering & code-generation agents,2605.07525,Can LLMs Solve Science or Just Write Code? Evaluating Quantum Solver Generation,LLM quantum code generation / repair,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2605.07525,11,First 100,030_2605.07525.pdf
31,G1,Quantum software engineering & code-generation agents,2605.03943,Beyond Rules: LLM-Powered Linting for Quantum Programs,LLM quantum code generation / repair,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2605.03943,11,First 100,033_2605.03943.pdf
36,G1,Quantum software engineering & code-generation agents,2604.23002,FormalScience: Scalable Human-in-the-Loop Autoformalisation of Science with Agentic Code Generation in Lean,Agentic AI for quantum workflows,Use an LLM + formal-verifier workflow where the agent drafts lemmas/proofs and Lean/Python checks reject invalid reasoning.,https://arxiv.org/pdf/2604.23002,19,First 100,038_2604.23002.pdf
48,G1,Quantum software engineering & code-generation agents,2604.04089,From Paper to Program: Externalizing and Diagnosing Knowledge Bottlenecks in AI-Assisted Quantum Many-Body Code Generation,LLM quantum code generation / repair,"Build a RAG + verifier loop for generating, migrating, debugging, and unit-testing Qiskit/OpenQASM/PennyLane circuits using simulator feedback.",https://arxiv.org/pdf/2604.04089,19,First 100,050_2604.04089.pdf
50,G1,Quantum software engineering & code-generation agents,2603.27836,Q-Bridge: Code Translation for Quantum Machine Learning via LLMs,LLM quantum code generation / repair,"Adapt the method into a local LLM/GenAI project with RAG, simulator/tool calls, validation, and result logging.",https://arxiv.org/pdf/2603.27836,26,First 100,052_2603.27836.pdf
